key,source,en,zh
ui.settings,Settings,Settings,Settings
ui.server_log,Server Log,Server Log,服务器日志
ui.tool_manager,Tool Manager,Tool Manager,工具管理器
ui.status_unknown,Status: Unknown,Status: Unknown,状态：未知
ui.status_running,Status: Running,Status: Running,状态：运行中
ui.status_stopped,Status: Stopped,Status: Stopped,状态：已停止
ui.start_server,Start Server,Start Server,启动服务器
ui.stop_server,Stop Server,Stop Server,停止服务器
ui.clear_log,Clear Log,Clear Log,清除日志
ui.refresh_tools,Refresh Tools,Refresh Tools,刷新工具
ui.transport_settings,Transport Settings,Transport Settings,传输设置
ui.transport_mode,Transport Mode,Transport Mode,传输模式
ui.http_port,Port,Port,端口
ui.enable_auth,Enable Auth,Enable Auth,启用认证
ui.auth_token,Token:,Token:,Token:
ui.token_placeholder,Enter auth token,Enter auth token,输入认证令牌
ui.enable_sse,Enable SSE,Enable SSE,启用 SSE
ui.allow_remote,Allow Remote Access,Allow Remote Access,允许远程访问
ui.cors_origin,CORS Origin:,CORS Origin:,CORS 源：
ui.auto_start,Auto Start,Auto Start,自动启动
ui.vibe_coding_mode,Vibe Coding / Do Not Disturb,Vibe Coding / Do Not Disturb,Vibe Coding / 免打扰模式
ui.log_level,Log Level:,Log Level:,日志级别：
ui.security,Security:,Security:,安全级别：
ui.rate_limit,Rate Limit:,Rate Limit:,速率限制：
ui.language,Language:,Language:,语言：
ui.english,English,English,English
ui.chinese,中文,中文,中文
ui.core_tools,Core Tools,Core Tools,核心工具
ui.supplementary_tools,Supplementary Tools,Supplementary Tools,补充工具
ui.tools_count,Core: %d/%d | Supp: %d/%d | Total: %d/%d,Core: %d/%d | Supp: %d/%d | Total: %d/%d,核心：%d/%d | 补充：%d/%d | 总计：%d/%d
ui.enabled_format,Enabled: %d / %d,Enabled: %d / %d,已启用：%d / %d
ui.connection_url,URL: http://localhost:%d/mcp,URL: http://localhost:%d/mcp,地址：http://localhost:%d/mcp
ui.connection_stdio,Mode: stdio (via stdin/stdout),Mode: stdio (via stdin/stdout),模式：stdio（标准输入/输出）
ui.tools_init,Tools: 0,Tools: 0,工具：0
